date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:38:58	186909/186909	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2000:38:57%20GMT	https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html	(from )
08:38:59	358/358	---M--	200	added ('OK')	text/plain	etag:%225aa8e93f-166%22	https://www.w3cschool.cn/robots.txt		(from )
08:39:00	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:38:59%20GMT	http://www.w3cschool.cn/statics/plugins/font-awesome/css/font-awesome.min.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/plugins/font-awesome/css/font-awesome.min.1.delayed	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:00	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:00%20GMT	http://www.w3cschool.cn/statics/css/w3.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/w3.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:00	22084/22084	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2008:27:26%20GMT	https://www.w3cschool.cn/statics/plugins/font-awesome/css/font-awesome.min.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/plugins/font-awesome/css/font-awesome.min.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:01	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:01%20GMT	http://www.w3cschool.cn/statics/css/style-kn-project-view.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/style-kn-project-view.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:01	67803/67803	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Dec%202018%2006:27:32%20GMT	https://www.w3cschool.cn/statics/css/w3.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/w3.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:02	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:02%20GMT	http://www.w3cschool.cn/statics/css/style-theme.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/style-theme.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:02	22827/22827	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Jan%202019%2010:49:00%20GMT	https://www.w3cschool.cn/statics/css/style-kn-project-view.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/style-kn-project-view.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:03	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:03%20GMT	http://www.w3cschool.cn/statics/css/project.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/project.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:03	16677/16677	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Jan%202019%2007:57:17%20GMT	https://www.w3cschool.cn/statics/css/style-theme.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/style-theme.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:04	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:03%20GMT	http://www.w3cschool.cn/plugins/highlight/styles/default.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/plugins/highlight/styles/default.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:04	18790/18790	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2002:23:38%20GMT	https://www.w3cschool.cn/statics/css/project.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/css/project.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:04	984/984	---M--	200	added ('OK')	text/css	etag:%225c4ac25e-3d8%22	https://www.w3cschool.cn/plugins/highlight/styles/default.css	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/plugins/highlight/styles/default.css	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:04	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:04%20GMT	http://www.w3cschool.cn/plugins/highlight/highlight.pack.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/plugins/highlight/highlight.pack.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:06	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:06%20GMT	http://www.w3cschool.cn/statics/js/jquery-1.8.3.min.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/js/jquery-1.8.3.min.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:06	44361/44361	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Feb%202017%2011:03:24%20GMT	https://www.w3cschool.cn/plugins/highlight/highlight.pack.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/plugins/highlight/highlight.pack.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:07	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:07%20GMT	http://www.w3cschool.cn/statics/plugins/jquery-slimscroll/jquery.slimscroll.min.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/plugins/jquery-slimscroll/jquery.slimscroll.min.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:07	93597/93597	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2018%20Feb%202017%2011:03:24%20GMT	https://www.w3cschool.cn/statics/js/jquery-1.8.3.min.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/js/jquery-1.8.3.min.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:08	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2000:39:07%20GMT	http://www.w3cschool.cn/statics/js/project.leftbox.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/js/project.leftbox.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
08:39:08	4724/4724	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202017%2011:33:57%20GMT	https://www.w3cschool.cn/statics/plugins/jquery-slimscroll/jquery.slimscroll.min.js	D:/00_GitHub/download/echarts_tutorial/www.w3cschool.cn/statics/plugins/jquery-slimscroll/jquery.slimscroll.min.js	(from https://www.w3cschool.cn/echarts_tutorial/echarts_tutorial-mec528xa.html)
